rank,family_office,principal,aum_networth,aum_confidence,aum_source,hq,category,atlas_member,companies_backed,mapped_raise_usd_m,activity_90d,confidence,source_url,note
1,Public Investment Fund (PIF),Saudi Government,$925B AUM (>$1T in 2025),Confirmed,https://gulfbusiness.com/2025/finance/saudis-pif-grows-assets-under-management-to-913bn/,Riyadh,Sovereign Wealth,N,Lucid Motors ($1000M),1000,1,Confirmed,https://www.pif.gov.sa/en/news-and-insights/press-releases/2018/lucid-motors/,Lucid + clean-energy megaprojects
2,Temasek,Singapore Government,S$434B / ~$324B (Mar 2025),Confirmed,https://www.temasek.com.sg/en/news-and-resources/news-room/news/2025/temasek-net-portfolio-value-grows-to-record-high-of-434-billion,Singapore,Sovereign Wealth,Y,General Fusion ($515M); Carbon Direct ($61M),576,2,Confirmed,Atlas_Coalition_FO_Backer_Map.xlsx + Atlas_Master_2026 (internal DB),"Cold list. Dream target — path via Lujie Chen (Aglaia, ex-Temasek)"
3,GIC,Singapore Government,~$936B AUM (Global SWF est.; GIC doesn't disclose),Estimate,https://www.swfinstitute.org/profile/598cdaa50124e9fd2d05b242,Singapore,Sovereign Wealth,Y,General Fusion ($515M),515,1,Confirmed,Atlas_Coalition_FO_Backer_Map.xlsx + Atlas_Master_2026 (internal DB),No direct Atlas connection yet — path via Nick Winstone (Aera VC)
4,Norges Bank IM (NBIM),Norwegian Government,~$2.2T (end 2025),Confirmed,https://www.nbim.no/en/investments/the-funds-value/,Oslo,Sovereign Wealth,N,offshore wind ($400M),400,1,Inferred,#,World's largest SWF; renewables mandate
5,ADIA,Abu Dhabi Government,~$1.2T (est.; ADIA doesn't disclose),Estimate,https://www.khaleejtimes.com/business/uae-adia-icd-mubadala-asset-jump-wealth-fund-next-5-years,Abu Dhabi,Sovereign Wealth,N,renewables infra ($300M),300,1,Inferred,#,Energy-transition infrastructure
6,Qatar Investment Authority,Qatari Government,~$525B AUM (est.),Estimate,https://en.wikipedia.org/wiki/Qatar_Investment_Authority,Doha,Sovereign Wealth,N,climate funds ($200M),200,1,Inferred,#,Climate-transition allocations
7,Temasek-backed GenZero,Singapore (Temasek),$5B fund (Temasek-anchored),Reported,https://impactalpha.com/emerging-market-family-offices-emerge-on-the-impact-investment-scene/,Singapore,Sovereign Wealth,N,carbon + nature portfolio ($200M),200,1,Reported,https://impactalpha.com/emerging-market-family-offices-emerge-on-the-impact-investment-scene/,Decarbonization-focused investor
8,Khazanah Nasional,Malaysian Government,"~$30B net (RM156B total, 2025)",Confirmed,https://www.nst.com.my/business/corporate/2026/02/1374972/updated-khazanahs-net-assets-hit-rm105bil-2025,Kuala Lumpur,Sovereign Wealth,N,SEA climate cos ($80M),80,1,Inferred,#,Energy-transition fund
9,Mubadala Investment Co,Abu Dhabi Government,$385B AUM (2025),Confirmed,https://www.mubadala.com/en/news/strong-performance-by-uae-portfolio-drives-mubadalas-growth-in-2025,Abu Dhabi,Sovereign Wealth,N,climate-transition portfolio,0,1,Inferred,#,Active climate-transition investor; specific portfolio company not verified against a public source this pass.
10,Sam Altman (personal),Sam Altman,$2B+ personal,Estimate,net-worth estimate — Forbes / Bloomberg Billionaires Index (fluctuates daily),San Francisco,Billionaire Principal,N,Helion Energy ($375M); Oklo ($500M),875,2,Confirmed,https://fortune.com/2026/02/13/sam-altman-fusion-helion-energy-milestone-doubters-grid-power-2028/,Largest backer of fusion + fission
11,Hillspire,Eric & Wendy Schmidt,$25B+ personal,Estimate,net-worth estimate — Forbes / Bloomberg Billionaires Index (fluctuates daily),Menlo Park,Billionaire Principal,N,Commonwealth Fusion ($863M),863,1,Confirmed,https://www.cnbc.com/2025/09/04/family-office-deals-peter-thiel-stark-jeff-bezos-billionaire.html,#1 on CNBC Family Office 15 (2025). Backed CFS fusion raise
12,Builders Vision,Lukas Walton,$40B+ platform,Estimate,net-worth estimate — Forbes / Bloomberg Billionaires Index (fluctuates daily),Chicago,Billionaire Principal,N,Form Energy ($450M); Lilac Solutions ($150M); Charm Industrial ($100M),700,3,Confirmed,https://time.com/collections/time-100-climate-2025/7326571/lukas-walton/,"~$15B in impact; oceans, food, energy"
13,Emerson Collective,Laurene Powell Jobs,$16B+ personal,Estimate,net-worth estimate — Forbes / Bloomberg Billionaires Index (fluctuates daily),Palo Alto,Billionaire Principal,Y,Twelve ($645M),645,1,Confirmed,Atlas_Coalition_FO_Backer_Map.xlsx + Atlas_Master_2026 (internal DB),On SendGrid warm list — path via Nicholas Flanders (Twelve)
14,Chan Zuckerberg Initiative,Mark Zuckerberg & Priscilla Chan,$170B+ combined,Estimate,net-worth estimate — Forbes / Bloomberg Billionaires Index (fluctuates daily),Redwood City,Billionaire Principal,Y,Twelve ($645M),645,1,Confirmed,Atlas_Coalition_FO_Backer_Map.xlsx + Atlas_Master_2026 (internal DB),Path via Nicholas Flanders (Twelve)
15,Bezos Earth Fund / Bezos Expeditions,Jeff Bezos,$200B+ personal,Estimate,net-worth estimate — Forbes / Bloomberg Billionaires Index (fluctuates daily),Miami,Billionaire Principal,Y,General Fusion ($515M),515,1,Confirmed,Atlas_Coalition_FO_Backer_Map.xlsx + Atlas_Master_2026 (internal DB),Tier-1 dream target. On SendGrid list
16,Bloomberg Philanthropies / Beyond Carbon,Michael Bloomberg,$100B+ personal,Estimate,net-worth estimate — Forbes / Bloomberg Billionaires Index (fluctuates daily),New York,Billionaire Principal,N,clean energy advocacy ($500M),500,1,Confirmed,https://www.bloomberg.org/environment/advancing-clean-energy/,$500M+ clean-energy campaigns
17,Breakthrough Energy / Gates Frontier,Bill Gates,$130B+ personal,Estimate,net-worth estimate — Forbes / Bloomberg Billionaires Index (fluctuates daily),"Kirkland, WA",Billionaire Principal,Y,Heirloom Carbon ($205M); Baseload Capital ($60M); CubicPV ($75M); EVOLOH ($15M),355,4,Confirmed,Atlas_Coalition_FO_Backer_Map.xlsx + Atlas_Master_2026 (internal DB),Tier-1 dream target. 4 portfolio cos in coalition
18,Wyss Foundation,Hansjorg Wyss,$6B+ personal,Estimate,net-worth estimate — Forbes / Bloomberg Billionaires Index (fluctuates daily),"Wilson, WY",Billionaire Principal,N,conservation finance ($100M),100,1,Inferred,#,Conservation + climate science
19,Bayshore Global Management,Sergey Brin,$140B+ personal,Estimate,net-worth estimate — Forbes / Bloomberg Billionaires Index (fluctuates daily),Los Altos,Billionaire Principal,N,Nexus NeuroTech (frontier),0,1,Inferred,#,$100B+ family office; confirmed recent activity is neurotech (Nexus NeuroTech). Specific climate/fusion holding unverified.
20,Planetary Holdings,Larry Page,$150B+ personal,Estimate,net-worth estimate — Forbes / Bloomberg Billionaires Index (fluctuates daily),Palo Alto,Billionaire Principal,N,frontier energy / aviation,0,1,Inferred,#,Larry Page frontier bets; Kitty Hawk wound down — specific current climate holding unverified.
21,Thiel Capital,Peter Thiel,$20B+ personal,Estimate,net-worth estimate — Forbes / Bloomberg Billionaires Index (fluctuates daily),Los Angeles,Billionaire Principal,N,frontier / defense portfolio,0,1,Inferred,#,Active family office (CNBC FO15); a specific climate/frontier-energy holding could not be verified — treat as unconfirmed.
22,Access Industries (Blavatnik),Len Blavatnik,$35B+ portfolio,Estimate,public reporting on Access Industries portfolio,New York / London,Billionaire Principal,N,Calpine (storage/CCS); Tigo Energy,0,2,Reported,https://www.accessindustries.com/,Owns Calpine (battery storage + carbon capture + geothermal); backs Tigo Energy.
23,Horizons Ventures,Li Ka-shing,$30B+ family,Estimate,approximate; not individually sourced,Hong Kong,Family Office,N,Impossible Foods ($2000M); Zymergen ($1000M),3000,2,Confirmed,https://www.scmp.com/business/companies/article/3110857/li-ka-shings-bet-future-synthetic-biology-horizons-investments,Deep tech + alt-protein
